CCN,Hospital,Address,City,County,State,Zip,Latitude,Longitude
'021304','PETERSBURG MEDICAL CENTER',' PO BOX 589','PETERSBURG',,'AK','99833',56.80786992,-132.9697678
'021305','WRANGELL MEDICAL CENTER','310 BENNETT STREET PO BOX 1081','WRANGELL',,'AK','99929',56.47273921,-132.3755153
'020026','ALASKA NATIVE MEDICAL CENTER','4315 DIPLOMACY DR','ANCHORAGE','ANCHORAGE','AK','99508',61.181867,-149.8025969
'020017','ALASKA REGIONAL HOSPITAL','2801 DEBARR ROAD','ANCHORAGE','ANCHORAGE','AK','99508',61.20975603,-149.8289918
'020001','PROVIDENCE ALASKA MEDICAL CENTER','BOX 196604','ANCHORAGE','ANCHORAGE','AK','99508',61.21755943,-149.8583776
'020018','YUKON KUSKOKWIM DELTA REG HOSPITAL','PO BOX 287','BETHEL','BETHEL','AK','99559',60.79428899,-161.7608671
'021309','KANAKANAK HOSPITAL','P O BOX 130','DILLINGHAM','DILLINGHAM','AK','99576',59.03978926,-158.462387
'020012','FAIRBANKS MEMORIAL HOSPITAL','1650 COWLES STREET','FAIRBANKS','FAIRBANKS NORTH STAR','AK','99701',64.83294822,-147.7365657
'020008','BARTLETT REGIONAL HOSPITAL','3260 HOSPITAL DR','JUNEAU','JUNEAU','AK','99801',58.32944253,-134.4658551
'021313','SOUTH PENINSULA HOSPITAL','4300 BARTLETT ST','HOMER','KENAI PENINSULA','AK','99603',59.65202046,-151.5500957
'021302','PROVIDENCE SEWARD HOSPITAL',"'417 FIRST AVENUE, PO BOX 365'",'SEWARD','KENAI PENINSULA','AK','99664',60.10544681,-149.4455347
'020024','CENTRAL PENINSULA GENERAL HOSPITAL','250 HOSPITAL PLACE','SOLDOTNA','KENAI PENINSULA','AK','99669',60.49373237,-151.078083
'021311','PEACEHEALTH KETCHIKAN MEDICAL CENTER','3100 TONGASS AVENUE','KETCHIKAN','KETCHIKAN GATEWAY','AK','99901',55.35288697,-131.6863519
'021306','PROVIDENCE KODIAK ISLAND MEDICAL CTR','1915 EAST REZANOF DRIVE','KODIAK','KODIAK ISLAND','AK','99615',57.80035045,-152.374768
'020006','MAT-SU REGIONAL MEDICAL CENTER','2500 SOUTH WOODWORTH LOOP','PALMER','MATANUSKA SUSITNA','AK','99645',61.56200592,-149.2605474
'021308','NORTON SOUND REGIONAL HOSPITAL','1000 GREG KRUSCHEK AVENUE (P O BOX 966)','NOME','NOME','AK','99762',64.49946582,-165.4057863
'021312','SAMUEL SIMMONDS MEMORIAL HOSPITAL','7000 UULA ST','BARROW','NORTH SLOPE','AK','99723',71.30043978,-156.7310081
'020027','MT EDGECUMBE HOSPITAL','222 TONGASS DR','SITKA','SITKA','AK','99835',57.0495212,-135.3548218
'021303','SITKA COMMUNITY HOSPITAL','209 MOLLER DRIVE','SITKA','SITKA','AK','99835',57.05867657,-135.34522
'021301','PROVIDENCE VALDEZ MEDICAL CENTER','PO BOX 550','VALDEZ','VALDEZ CORDOVA','AK','99686',61.13037838,-146.3540996
'010108','PRATTVILLE BAPTIST HOSPITAL','124 S MEMORIAL DR','PRATTVILLE','AUTAUGA','AL','36067',32.46419952,-86.45095277
'010129','NORTH BALDWIN INFIRMARY','1815 HAND AVENUE','BAY MINETTE','BALDWIN','AL','36507',30.90193609,-87.7831133
'010100','THOMAS HOSPITAL','750 MORPHY AVENUE','FAIRHOPE','BALDWIN','AL','36532',30.51996631,-87.88950804
'010083','SOUTH BALDWIN REGIONAL MEDICAL CENTER','1613 NORTH MCKENZIE STREET','FOLEY','BALDWIN','AL','36535',30.42568047,-87.68324212
'010069','MEDICAL CENTER BARBOUR','820 W WASHINGTON ST','EUFAULA','BARBOUR','AL','36027',31.88801828,-85.1560611
'010058','BIBB MEDICAL CENTER','208 PIERSON AVE','CENTREVILLE','BIBB','AL','35042',32.95133453,-87.14764515
'010110','BULLOCK COUNTY HOSPITAL','102 WEST CONECUH AVENUE','UNION SPRINGS','BULLOCK','AL','36089',32.14614261,-85.71266859
'010047','GEORGIANA MEDICAL CENTER','515 N MIRANDA AVENUE','GEORGIANA','BUTLER','AL','36033',31.63636108,-86.74277275
'010150','L V STABLER MEMORIAL HOSPITAL','29 L V STABLER DRIVE','GREENVILLE','BUTLER','AL','36037',31.82974278,-86.64611474
'010078','NORTHEAST ALABAMA REGIONAL MED CENTER','400 EAST 10TH STREET','ANNISTON','CALHOUN','AL','36207',33.65708774,-85.83513073
'010038','STRINGFELLOW MEMORIAL HOSPITAL','301 EAST 18TH ST','ANNISTON','CALHOUN','AL','36201',33.66768739,-85.82468953
'010146','RMC JACKSONVILLE','1701 SOUTH PELHAM ROAD','JACKSONVILLE','CALHOUN','AL','36265',33.78560262,-85.76124893
'010022','CHEROKEE MEDICAL CENTER','400 NORTHWOOD DR','CENTRE','CHEROKEE','AL','35960',34.16275021,-85.64348979
'011304','CHOCTAW GENERAL HOSPITAL',"'401 VANITY FAIR LANE, PO BOX 618'",'BUTLER','CHOCTAW','AL','36904',32.10034223,-88.21280179
'010091','GROVE HILL MEMORIAL HOSPITAL','295 JACKSON HWY S','GROVE HILL','CLARKE','AL','36451',31.69477712,-87.77707494
'010128','JACKSON MEDICAL CENTER','220 HOSPITAL DRIVE','JACKSON','CLARKE','AL','36545',31.53060208,-87.89346675
'010073','CLAY COUNTY HOSPITAL','83825 HIGHWAY 9    P O BOX 1270','ASHLAND','CLAY','AL','36251',33.27665891,-85.8236117
