ccn,hospital,city,county,state,latitude,longitude,year,Domain_1_Score,AHRQ_PSI_90_Score,Domain_1_Start_Date,Domain_1_End_Date,Domain_2_Score,CLABSI_Score,CAUTI_Score,Domain_2_Start_Date,Domain_2_End_Date,Total_HAC_Score
020026,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,ANCHORAGE,AK,61.18186699900008, -149.80259690399998,2015,9,9,07/01/2011 00:00:00,06/30/2013 00:00:00,1,1,0,01/01/2012 00:00:00,12/31/2013 00:00:00,3.8
020017,ALASKA REGIONAL HOSPITAL,ANCHORAGE,ANCHORAGE,AK,61.20975602900006, -149.82899175899996,2015,7,7,07/01/2011 00:00:00,06/30/2013 00:00:00,9.5,9,10,01/01/2012 00:00:00,12/31/2013 00:00:00,8.625
020001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,ANCHORAGE,AK,61.217559433000076, -149.85837763799998,2015,10,10,07/01/2011 00:00:00,06/30/2013 00:00:00,7.5,9,6,01/01/2012 00:00:00,12/31/2013 00:00:00,8.375
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,BETHEL,AK,60.79428899100003, -161.76086713599997,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,6
020012,FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,FAIRBANKS NORTH STAR,AK,64.83294821500004, -147.73656572899998,2015,9,9,07/01/2011 00:00:00,06/30/2013 00:00:00,4.5,8,1,01/01/2012 00:00:00,12/31/2013 00:00:00,6.075
020008,BARTLETT REGIONAL HOSPITAL,JUNEAU,JUNEAU,AK,58.32944252500005, -134.46585505299998,2015,3,3,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,3
020024,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,KENAI PENINSULA,AK,60.49373236500003, -151.07808299499996,2015,4,4,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,4
020006,MAT-SU REGIONAL MEDICAL CENTER,PALMER,MATANUSKA SUSITNA,AK,61.56200592200008, -149.26054740599997,2015,10,10,07/01/2011 00:00:00,06/30/2013 00:00:00,4.5,6,3,01/01/2012 00:00:00,12/31/2013 00:00:00,6.425
020027,MT EDGECUMBE HOSPITAL,SITKA,SITKA,AK,57.04952119600006, -135.354821825,2015,7,7,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,7
010108,PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AUTAUGA,AL,32.464199515000075, -86.45095276799998,2015,4,4,07/01/2011 00:00:00,06/30/2013 00:00:00,1,1,1,01/01/2012 00:00:00,12/31/2013 00:00:00,2.05
