CCN	TopQuartile	HAC
010001	N	6.9
010005	N	1.65
010006	N	4.35
010007	N	3.1
010008	N	6
010011	N	4.9
010012	N	3.8
010016	N	4.4
010018	N	6
010019	N	1.7
010021	N	6.05
010022	N	5
010023	N	4.275
010024	N	5.6
010025	N	3.05
010029	Y	8.275
010032	N	5
010033	Y	8
010034	N	1.7
010035	N	2.025
010036	N	6.65
010038	N	3.7
010039	Y	8
010040	N	3.7
010044	N	4
010045	N	6.7
010046	N	5.875
010047	N	6
010049	N	1.7
010051	N	7
010052	N	6
010054	N	3
010055	N	6.325
010056	N	3.275
010058	N	7
010059	N	5
010061	Y	9.3
010062	N	5.3
010065	N	3.45
010069	N	1.7
010073	N	2.4
010078	Y	7.4
010079	N	6.25
010083	N	6.7
010085	N	5.35
010086	N	4
010087	Y	8.05
010089	N	5.75
010090	N	5.425
010091	N	5
010092	Y	7.05
010095	N	7
010097	N	6
010099	N	2.75
010100	N	6.1
010101	N	3.8
010102	N	7
010103	N	5.45
010104	N	6.425
010108	N	2.05
010109	N	3
010110	N	6
010112	N	5
010113	N	5.725
010114	N	5.125
010118	N	3.325
010120	N	2.75
010125	N	6
010126	N	3.95
010128	N	6
010129	N	5.35
010130	N	5.325
010131	Y	7.3
010138	N	6
010139	Y	7.7
010144	Y	7.375
010146	N	6
010148	N	5
010149	N	3.275
010150	N	4
010157	N	6.575
010158	Y	9
010164	N	3.8
010168	N	4
010169	N	5.7
020001	Y	8.375
020006	N	6.425
020008	N	3
020012	N	6.075
020017	Y	8.625
020018	N	6
020024	N	4
020026	N	3.8
020027	N	7
030001	N	3.8
030002	N	6.975
030006	Y	8.7
030007	N	3.775
030010	N	6.675
030011	N	5.35
030012	N	6.7
030013	N	4.325
030014	N	5.55
030016	N	5.1
030022	Y	10
030023	N	5.3
030024	Y	8.375
030030	N	6.725
030033	N	1
030036	N	2.675
030037	Y	7.725
030038	N	5.575
030043	N	3.95
030055	N	5.775
030061	N	3.3
030062	N	5.05
030064	Y	8.675
030065	N	6.65
030068	N	4
030069	N	2.3
030071	N	3
030073	N	4.65
030074	Y	8.95
030077	N	7
030078	Y	10
030083	N	4.125
030084	N	2.05
030085	Y	7.675
030087	N	6.625
030088	N	6.975
030089	N	5.3
030092	N	6.75
030093	N	2.975
030094	N	6.375
030101	N	3.65
030103	N	2.975
030105	N	3.925
030107	N	2
030108	N	1
030110	N	5.05
030111	N	5.125
030112	Y	8
030113	N	6
030114	N	5
030115	N	3.325
030117	N	1.35
030118	N	3
030119	Y	9.025
030120	N	4
030121	N	6.75
030122	Y	7.725
030123	N	6.25
030130	Y	9
030131	N	2
030132	Y	8
030134	N/A	0
040001	N	1.35
040002	N	2.4
040004	N	6.875
040007	N	4.65
040010	Y	7.075
040011	Y	9
040014	N	5.275
040015	N	2.75
040016	Y	8.05
040017	N	3.45
040018	N	4.15
